"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","0.1μF","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm",""
"2","H1, H2, H3, H4","4","MountingHole_Pad","MountingHole:MountingHole_3mm_Pad",""
"3","J1","1","Screw_Terminal_01x07","TerminalBlock_Altech:Altech_AK300_1x07_P5.00mm_45-Degree",""
"4","J2","1","Screw_Terminal_01x02","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm",""
"5","J3","1","KNX-IN","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
"6","J4","1","Screw_Terminal_01x08","TerminalBlock_Altech:Altech_AK300_1x08_P5.00mm_45-Degree",""
"7","JP1","1","Jumper_3_Bridged12","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"8","Q1, Q2, Q4, Q5, Q7, Q8, Q10, Q11, Q13, Q14, Q16, Q17","12","2N2222A","Package_TO_SOT_THT:TO-92_Inline",""
"9","Q3, Q6, Q9, Q12, Q15, Q18","6","IRFZ44N","Package_TO_SOT_THT:TO-220-3_Vertical",""
"10","R1, R2, R3, R6, R7, R8, R10, R11, R12, R14, R15, R16, R18, R19, R20, R22, R23, R24","18","10k","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal",""
"11","R4, R5, R9, R13, R17, R21","6","1K","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal",""
"12","U1","1","L7805","Package_TO_SOT_THT:TO-220-3_Vertical",""
"13","U2","1","ESP32-DEVKITC-32D","MODULE_ESP32-DEVKITC-32D",""
